ExitSpeed,Angle,PitchCall,TaggedHitType,PlayResult,Outcome
38.36274,-23.2367,InPlay,GroundBall,Out,Out
61.46433,8.608732,InPlay,LineDrive,Out,Out
66.36927,58.400654,InPlay,FlyBall,Out,Out
58.4018,86.516967,InPlay,Popup,Out,Out
50.24864,40.893775,InPlay,Popup,Out,Out
61.88653,-2.465729,InPlay,GroundBall,Out,Out
39.39601,-39.286146,InPlay,GroundBall,Out,Out
37.99999,36.679786,InPlay,FlyBall,Out,Out
47.12225,12.308207,InPlay,GroundBall,Out,Out
69.91209,-3.339849,InPlay,GroundBall,Out,Out
55.56506,64.963962,InPlay,Popup,Out,Out
65.99271,30.979099,InPlay,FlyBall,Out,Out
62.44489,27.682622,InPlay,FlyBall,Out,Out
25.73534,-30.689323,InPlay,GroundBall,Out,Out
44.14608,12.78837,InPlay,GroundBall,Out,Out
71.26981,15.477415,InPlay,LineDrive,Out,Out
47.47029,-34.02352,InPlay,GroundBall,Fielderschoice,Out
69.07857,53.866774,InPlay,FlyBall,Out,Out
72.57837,20.32262,InPlay,LineDrive,Out,Out
50.14231,-38.901516,InPlay,GroundBall,Out,Out
66.0412,6.964422,InPlay,GroundBall,Single,Single
35.54274,-64.102677,InPlay,GroundBall,Single,Single
65.01402,5.967903,InPlay,GroundBall,Fielderschoice,Out
19.56503,-56.497384,InPlay,GroundBall,Out,Out
62.19181,-5.590686,InPlay,LineDrive,Error,Out
59.82156,15.210025,InPlay,LineDrive,Single,Single
49.5497,-7.603503,InPlay,GroundBall,Out,Out
67.98262,53.501143,InPlay,FlyBall,Out,Out
66.72624,60.06416,InPlay,FlyBall,Out,Out
59.01897,-15.025202,InPlay,GroundBall,Single,Single
69.30566,-5.489998,InPlay,GroundBall,Out,Out
71.09,59.731208,InPlay,FlyBall,Out,Out
59.29001,16.575872,InPlay,LineDrive,Single,Single
35.66663,-4.438111,InPlay,GroundBall,Single,Single
70.87839,37.873481,InPlay,FlyBall,Out,Out
73.08021,-5.807057,InPlay,LineDrive,Error,Out
62.79109,-20.747488,InPlay,GroundBall,Fielderschoice,Out
64.36668,11.723933,InPlay,LineDrive,Single,Single
65.21765,1.501549,InPlay,LineDrive,Single,Single
52.04045,6.085626,InPlay,LineDrive,Out,Out
70.61204,-2.772877,InPlay,GroundBall,Single,Single
64.99423,44.421242,InPlay,FlyBall,Out,Out
64.7078,38.544755,InPlay,FlyBall,Out,Out
62.36968,-15.700964,InPlay,GroundBall,Single,Single
50.73367,-13.387464,InPlay,GroundBall,Out,Out
41.50075,34.018868,InPlay,Popup,Out,Out
43.65983,12.058342,InPlay,GroundBall,Out,Out
48.70711,42.743248,InPlay,Popup,Single,Single
60.80901,22.154557,InPlay,LineDrive,Single,Single
79.35195,19.301932,InPlay,LineDrive,Homerun,Homerun
73.7092,10.704361,InPlay,LineDrive,Single,Single
60.22955,-9.517918,InPlay,GroundBall,Error,Out
44.27173,5.577196,InPlay,GroundBall,Out,Out
69.80458,30.909483,InPlay,FlyBall,Homerun,Homerun
66.18548,-9.269923,InPlay,GroundBall,Out,Out
58.74362,51.671082,InPlay,FlyBall,Out,Out
38.68219,-43.987846,InPlay,GroundBall,Out,Out
51.86786,4.381317,InPlay,LineDrive,Single,Single
69.04129,-13.155925,InPlay,GroundBall,Fielderschoice,Out
56.62586,-11.065894,InPlay,GroundBall,Out,Out
32.69878,-50.167087,InPlay,GroundBall,Error,Out
38.05291,-78.181626,InPlay,GroundBall,Out,Out
30.59703,-45.273618,InPlay,GroundBall,Error,Out
46.04822,1.92474,InPlay,GroundBall,Fielderschoice,Out
58.55845,16.453948,InPlay,Popup,Single,Single
68.7738,32.191899,InPlay,FlyBall,Homerun,Homerun
49.91803,-11.703186,InPlay,GroundBall,Out,Out
64.98551,29.418664,InPlay,FlyBall,Out,Out
71.15006,-22.415479,InPlay,GroundBall,Single,Single
68.2421,13.551557,InPlay,LineDrive,Single,Single
73.13598,0.038108,InPlay,GroundBall,Single,Single
71.65413,13.931803,InPlay,LineDrive,Double,XBH
38.01402,38.02642,InPlay,FlyBall,Out,Out
58.13076,-2.165404,InPlay,GroundBall,Error,Out
43.65104,48.169893,InPlay,Popup,Single,Single
73.49049,7.143434,InPlay,LineDrive,Double,XBH
69.50067,13.45907,InPlay,LineDrive,Single,Single
53.96438,17.706149,InPlay,LineDrive,Single,Single
32.43475,35.75346,InPlay,Popup,Out,Out
61.57523,-4.286609,InPlay,GroundBall,Out,Out
61.45139,-4.417244,InPlay,GroundBall,Out,Out
54.10893,27.462797,InPlay,LineDrive,Single,Single
64.31622,36.528392,InPlay,FlyBall,Out,Out
55.76902,-57.890771,InPlay,GroundBall,Single,Single
59.38869,46.870907,InPlay,Popup,Out,Out
55.08211,-1.872147,InPlay,GroundBall,Fielderschoice,Out
43.29835,-7.768873,InPlay,GroundBall,Out,Out
32.58309,52.714646,InPlay,Popup,Single,Single
56.09667,45.263834,InPlay,FlyBall,Out,Out
56.26978,15.273021,InPlay,LineDrive,Single,Single
68.5994,35.740896,InPlay,FlyBall,Out,Out
71.88767,-5.12172,InPlay,GroundBall,Single,Single
47.41621,-1.796595,InPlay,GroundBall,Out,Out
74.43655,27.765574,InPlay,FlyBall,Homerun,Homerun
70.3432,24.635913,InPlay,LineDrive,Double,XBH
61.47873,2.130358,InPlay,GroundBall,Single,Single
70.10567,22.026086,InPlay,FlyBall,Double,XBH
46.24132,13.860612,InPlay,LineDrive,Single,Single
56.58244,27.192124,InPlay,FlyBall,Single,Single
54.4982,16.948305,InPlay,LineDrive,Single,Single
70.3871,12.847335,InPlay,LineDrive,Out,Out
44.56373,6.770525,InPlay,GroundBall,Out,Out
47.13613,-71.319518,InPlay,GroundBall,Single,Single
45.59424,55.841255,InPlay,Popup,Out,Out
71.15828,-11.395873,InPlay,GroundBall,Out,Out
57.29905,30.393098,InPlay,Popup,Out,Out
65.92765,-13.158091,InPlay,GroundBall,Fielderschoice,Out
58.88464,-0.756583,InPlay,GroundBall,Fielderschoice,Out
51.13693,17.932312,InPlay,Popup,Out,Out
55.59323,62.342387,InPlay,Popup,Out,Out
19.55357,19.448666,InPlay,Bunt,Out,Out
65.54563,6.707136,InPlay,LineDrive,Single,Single
74.38949,-14.544556,InPlay,GroundBall,Error,Out
70.38419,19.696068,InPlay,LineDrive,Single,Single
53.27945,18.24501,InPlay,LineDrive,Single,Single
33.13534,35.043672,InPlay,Popup,Out,Out
65.04386,3.74254,InPlay,GroundBall,Single,Single
67.27087,6.692493,InPlay,LineDrive,Single,Single
73.24623,12.307108,InPlay,LineDrive,Double,XBH
76.0709,40.985991,InPlay,LineDrive,Homerun,Homerun
66.28546,33.683099,InPlay,FlyBall,Out,Out
69.03827,14.792033,InPlay,Popup,Out,Out
49.68767,23.808058,InPlay,LineDrive,Single,Single
65.44623,4.534192,InPlay,GroundBall,Error,Out
61.33446,-46.103478,InPlay,GroundBall,Out,Out
65.12157,3.124185,InPlay,LineDrive,Single,Single
72.945,26.532541,InPlay,LineDrive,Homerun,Homerun
76.1504,4.169403,InPlay,LineDrive,Single,Single
61.66839,86.081544,InPlay,Popup,Out,Out
58.68452,26.105699,InPlay,FlyBall,Out,Out
54.59853,-26.568519,InPlay,GroundBall,Out,Out
25.49899,-58.072747,InPlay,GroundBall,Single,Single
66.59527,48.069007,InPlay,FlyBall,Out,Out
75.68167,34.396926,InPlay,LineDrive,Homerun,Homerun
69.72817,20.083154,InPlay,FlyBall,Out,Out
64.75142,11.133338,InPlay,LineDrive,Single,Single
57.27892,-24.382582,InPlay,GroundBall,Fielderschoice,Out
64.98685,52.397114,InPlay,Popup,Out,Out
62.59632,38.782425,InPlay,FlyBall,Out,Out
62.94401,36.991109,InPlay,FlyBall,Out,Out
58.82058,36.024047,InPlay,FlyBall,Out,Out
